Simulating Bereshit's Landing:
    time |       vs |         hs |            dist |             alt |      ang |     weight |     acc |    fuel
  560.00 |    25.02 |       0.00 |          822.18 |          822.18 |     0.00 |     188.63 |    3.34 |   23.63
  570.00 |    24.50 |       0.00 |          583.17 |          583.17 |     0.00 |     187.52 |    3.36 |   22.52
  580.00 |    23.88 |       0.00 |          349.94 |          349.94 |     0.00 |     186.41 |    3.38 |   21.41
  590.00 |    23.16 |       0.00 |          123.48 |          123.48 |     0.00 |     185.30 |    3.40 |   20.30
  592.00 |    19.60 |       0.00 |           82.49 |           82.49 |     0.00 |     184.86 |    3.41 |   19.86
  593.00 |    17.82 |       0.00 |           64.68 |           64.68 |     0.00 |     184.64 |    3.41 |   19.64
  594.00 |    16.03 |       0.00 |           48.65 |           48.65 |     0.00 |     184.42 |    3.42 |   19.42
  595.00 |    14.23 |       0.00 |           34.42 |           34.42 |     0.00 |     184.19 |    3.42 |   19.19
  596.00 |    12.43 |       0.00 |           21.99 |           21.99 |     0.00 |     183.97 |    3.42 |   18.97
  597.00 |    10.63 |       0.00 |           11.36 |           11.36 |     0.00 |     183.75 |    3.43 |   18.75
  598.00 |     6.82 |       0.00 |            4.53 |            4.53 |     0.00 |     183.53 |    3.43 |   18.53
  599.00 |     3.01 |       0.00 |            1.52 |            1.52 |     0.00 |     183.44 |    1.31 |   18.44
  600.00 |     0.30 |       0.00 |            1.22 |            1.22 |     0.00 |     183.36 |    1.31 |   18.36
  601.00 |     0.30 |       0.00 |            0.92 |            0.92 |     0.00 |     183.28 |    1.31 |   18.28
  602.00 |     0.30 |       0.00 |            0.62 |            0.62 |     0.00 |     183.19 |    1.31 |   18.19
  603.00 |     0.30 |       0.00 |            0.32 |            0.32 |     0.00 |     183.11 |    1.31 |   18.11
  604.00 |     0.30 |       0.00 |            0.05 |            0.02 |     0.00 |     183.02 |    1.31 |   18.02

Finished simulation with 17.94 litres of fuel which are 14.83% of the initial amount.
